addressID,streetAddress,cityID
1,Minor Road,1
2,1200 Airport Dr,2
3,4886 Main Street,3
4,1845 Vt Rt 9,4
5,16 Route 2,5
6,Main St,6
7,Not Reported,7
8,North St,8
9,499 Canal St,6
10,80 Pond Street,9
11,I 89 N MM83 ,10
12,369 East Road,11
13,St Paul St,12
14,Colchester Ave,12
15,195 Colchester Ave,12
16,Park St,13
17,Dorset St,2
18,206 Shelburne Rd,12
19,302 St John St,14
20,Woodstock Ave,15
21,Cold River Road,16
22,3128 Jersey Street,17
23,910 VT ROUTE 15 ,18
24,South St Ext,13
25,SUSIE WILSON RD,19
26,VT ROUTE 100,20
27,Spring Tree Lane,6
28,Creek Farm Road,21
29,VT ROUTE 108 SOUTH,22
30,Williston Rd,2
31,Pearl St,12
32,Not Reported,23
33,56 Main Street,7
34,595 Shelburne Rd,12
35,1482 Buttons Falls Rd,24
36,1000 River St,19
37,3607 HINMAN SETTLER RD ,25
38,5053 Vt Rt 9,26
39,S Willard St,12
40,Main Street,21
41,461 VT ROUTE 114,27
42,Williston Road,2
43,414 US Route 7 South,11
44,Not Reported,6
45,I 289 EXIT 9,19
46,210 South Street,28
47,Western Ave,6
48,I 89 N MM23,29
49,I89 NB,30
50,539 Charlestown Rd.,7
51,Vt Rt 15,31
52,Interstate 91 North,14
53,1131 Depot Street,3
54,4272 BURKE HOLLOW RD,27
55,10 SUSIE WILSON RD,19
56,127 VT Route 100,32
57,74 RICHFORD RD ,33
58,535 E Main St,34
59,9 Water Street,35
60,997 Main St,36
61,VT RT 15,37
62,700 Tuckers Way,38
63,Canal St,6
64,MCKINNEL RD,39
65,39 South Main Street,40
66,Williston Road,10
67,Church St,12
68,302 Silver Street,28
69,Rt 30,6
70,5 North Main St.,15
71,College St,12
72,Cedar St,6
73,WILLISTON ROAD,10
74,142 North Street,28
75,1880 VT 100,41
76,Waterbury Road,42
77,I 91 N MM66,43
78,308 Vt Rt 15,44
79,111 Colchester Ave,12
80,Winooski St & River Rd,45
81,Stratton Road,15
82,Lake Rd.,34
83,I-91 MM 25,46
84,473 E Barre Rd,47
85,4300 Block VT ROUTE 11,48
86,51 West Main,1
87,Vt Rt 22a,49
88,Interstate 91 N,50
89,3200 Block ROUTE 315,51
90,RT 4 WB,52
91,Pine St,15
92,I-91 S MM58,53
93,150 US Route 2,54
94,Battery St,12
95,32 Linden St,6
96,644 CENTER OF TOWN ROAD,55
97,262 South Main Street,15
98,Huntville Road,36
99,Main Road,56
100,743 VT 100,57
101,Union Hill,6
102,Putney Rd,6
103,VT TR 100,45
104,4002 Rt 2,58
105,Abenaki Way,59
106,Shelburne Hinesburg Rd,60
107,2703 Waterbury Rd,42
108,Shelburne Rd,2
109,Morrison Rd,47
110,131 Fairground Rd,6
111,39 River Rd,19
112,Shaws Parking Lot,10
113,6420 VT Route 116,60
114,105 White Street,2
115,119 MAIN ST,19
116,VT RT 110,29
117,I 91 N MM87; 87/6 ,61
118,12 Main Street,62
119,I 89 N MM26,63
120,151 Hannaford Sq,28
121,S Main St,64
122,31 Loomis St,12
123,3676,65
124,6308  Shelburne Road,60
125,1420 Island Pond Road,66
126,Roosevelt Highway,21
127,1 S Prospect St,12
128,2825 Killington Rd,67
129,Old Ferry Rd,6
130,3900 Block VT ROUTE 11,68
131,200 Wake Robin Dr,60
132,280 E Allen St,59
133,76 E Allen St,59
134,Main St,12
135,Not Reported,41
136,Fort Parkway,19
137,46 Court St,13
138,105 Vt Rt 73,49
139,I 89 S MM85 S,12
140,I 89 N MM41,69
141,3 S Main St,70
142,Not Reported,71
143,3302 MAIN STREET,3
144,Not Reported,68
145,I 89 N MM39,72
146,West Woodstock Rd.,73
147,Shepardson Hollow Rd,36
148,316 Route 11,74
149,S Barre Road,47
150,264 N Winooski Ave,12
151,1200 E HILL RD,75
152,227 Main St,12
153,800 Block VT ROUTE 14,76
154,370 S Barre Rd,47
155,Randolph Rd,42
156,Greenbush Rd,77
157,Pleasant Street,28
158,686 VT ROUTE 67 W ,78
159,607 Highland RD,7
160,850 W Hill Road,79
161,29 SCHOOL HOUSE RD ,72
162,RT 11,68
163,160 James Brown Dr,10
164,Roosevelt Hwy,21
165,Not Reported,80
166,260 Court ST Ext,13
167,Main St,62
168,291 MONKTON RD ,8
169,2 EDUCATIONAL DR,19
170,VT Rt 15,81
171,"Waterbury Rd, Moscow Rd",42
172,76 Terrace Dr,67
173,28 West Main Street,1
174,Christian Street,55
175,135 US Route 5 South,82
176,3197 US RT 5,80
177,Fairview St,6
178,100 Block DELORM RD,83
179,I 89 N MM97,21
180,469 Canal St,6
181,1049 Marlboro Rd,6
182,266 VT RT 15 ,84
183,Vernon Rd,6
184,DANBY HILL RD,85
185,I-91 South,86
186,30 Merrill Street,7
187,42 Cleveland Avenue,15
188,Graniteville Rd,47
189,RT 2,11
190,960 Shelburne Rd,2
191,Route 100,31
192,I 89 N MM12,87
193,669 VT RT 110,88
194,Lime Kiln Rd,2
195,2 Chester Rd,7
196,5854 VT 30 N,89
197,3 BROWNS RIVER RD,19
198,Handle Road,32
199,Not Reported,53
200,INTERSTATE 91 N,55
201,Jersey Heights,31
202,Not Reported,90
203,227 Union Brook Road,79
204,1 Block HEARTHSTONE LN,48
205,4300 Block US ROUTE 2 EAST,62
206,Crescent & Central,91
207,916 Main Street,28
208,VT RT 15,92
209,4323 VT ROUTE 108 S ,92
210,Elm St,40
211,155 DORSET ST,2
212,Berlin Street,70
213,VT Rt 15,31
214,700 Charlestown Road,7
215,4027 VT RT 125,93
216,1709 Middlebrook Road,94
217,1073 US RT 302,35
218,839 Niles Road,95
219,I 89 N MM82; 82/8 ,10
220,5236 US Route 2,54
221,South Main Street,15
222,Main RD,56
223,Brooklyn St,31
224,287 County Road,96
225,891 S Richford Rd,97
226,71 Pearl St,19
227,Middle Rd,11
228,389 Coventry Station Rd,98
229,751 North Bennington Road,28
230,1510 Richmond Rd,99
231,Elmwood Ave,12
232,96 Northside Drive,28
233,40 Grove St,12
234,5503 Us Rt 7,100
235,VT Route 100,101
236,Court Street Ext.,13
237,Main Street,63
238,27 Duffy Hill Rd,102
239,Spear Street,60
240,Shelburne Falls Rd,99
241,30 Cross Rd,103
242,30 ROY ST ,80
243,Woodstock Road,55
244,Institute Rd,12
245,2685 Killington Rd.,67
246,Rte 127/Beltline,12
247,US Roue 7 North,28
248,Oak Grove Ave,6
249,5 Acme Street,53
250,Sherman St,12
251,West Hill Road,74
252,17 Winding Hill Drive,6
253,I 89 N MM76; 76/6 ,104
254,1068 Higley Hill Rd,105
255,Stratton Arlington Rd,57
256,160 Benmont Avenue,28
257,Washington Rd,47
258,108 Vt Route 30,106
