accID,Animal
88,Deer
89,Deer
126,Moose
156,Deer
216,Deer
253,Deer
298,Deer
305,Deer
323,Deer
344,Deer
399,Deer
551,Deer
554,Deer
560,Moose
608,Wild
609,Deer
772,Deer
797,Deer
845,Deer
851,Deer
877,Deer
922,Deer
960,Deer
1010,Deer
1020,Deer
1026,Deer
1037,Deer
1044,Deer
1087,Deer
1135,Deer
1162,Deer
1201,Deer
1253,Deer
1260,Moose
1278,Deer
1335,Deer
1381,Wild
1410,Deer
1455,Deer
1495,Domestic
1507,Deer
1578,Deer
1600,Moose
1756,Deer
1775,Wild
1776,Deer
1816,Deer
1868,Deer
1881,Deer
1890,Deer
1944,Deer
1985,Deer
2016,Deer
2022,Deer
2029,Deer
2036,Deer
2167,Deer
2498,Deer
2513,Deer
2520,Deer
2540,Deer
2553,Deer
2595,Deer
2597,Domestic
2604,Deer
2708,Deer
2818,Deer
2837,Deer
2869,Deer
2884,Wild
2899,Deer
2919,Deer
2952,Deer
3058,Deer
3101,Deer
3103,Deer
3108,Deer
3155,Deer
3163,Deer
3289,Deer
3315,Deer
3316,Deer
3375,Domestic
3377,Deer
3390,Domestic
3424,Deer
3426,Deer
3441,Deer
3448,Deer
3471,Deer
3476,Deer
3593,Deer
3596,Deer
3678,Deer
3690,Deer
3713,Deer
3726,Deer
3742,Deer
3754,Deer
3786,Deer
3811,Deer
3815,Deer
3820,Deer
3905,Deer
3912,Deer
4030,Deer
4148,Wild
4270,Deer
4283,Wild
4287,Deer
4327,Deer
4391,Deer
4400,Deer
4435,Deer
4450,Deer
4474,Wild
4485,Moose
4568,Wild
4572,Wild
4591,Deer
4637,Deer
4638,Deer
4732,Deer
4803,Deer
4838,Deer
5029,Deer
5064,Deer
5069,Deer
5085,Deer
5092,Deer
5112,Wild
5144,Deer
5145,Deer
5214,Deer
5216,Moose
5242,Deer
5291,Deer
5349,Deer
5382,Deer
5397,Domestic
5411,Deer
5423,Deer
5458,Domestic
5525,Wild
5537,Deer
5541,Deer
5553,Domestic
5646,Deer
5648,Deer
5658,Deer
5719,Deer
5757,Deer
5851,Moose
5865,Deer
5915,Deer
5992,Deer
6017,Deer
6024,Deer
6030,Deer
6039,Deer
6063,Deer
6243,Deer
6263,Deer
6269,Deer
6287,Deer
6312,Domestic
6313,Wild
6318,Deer
6347,Deer
6358,Deer
6370,Deer
6429,Deer
6530,Domestic
6731,Moose
6766,Deer
6767,Deer
6817,Deer
6853,Deer
6857,Deer
6867,Deer
6932,Domestic
6958,Deer
7005,Deer
7034,Deer
7097,Deer
7125,Deer
7140,Deer
7176,Deer
7178,Deer
7186,Deer
7216,Deer
7230,Deer
7233,Deer
7241,Deer
7245,Deer
7334,Deer
7392,Deer
7417,Deer
7424,Deer
7457,Deer
7469,Deer
7512,Wild
7585,Deer
7590,Deer
7603,Deer
7630,Moose
7650,Domestic
7652,Deer
7674,Wild
7735,Deer
7796,Wild
7797,Deer
7859,Deer
7909,Moose
7916,Moose
7941,Deer
7962,Moose
7975,Wild
7985,Wild
7990,Deer
8084,Deer
8108,Deer
8121,Domestic
8138,Deer
8167,Deer
8169,Deer
8201,Deer
8250,Wild
8288,Deer
8316,Deer
8338,Deer
8411,Wild
8426,Deer
8429,Deer
8448,Deer
8529,Deer
8583,Deer
8632,Deer
8640,Moose
8680,Deer
8720,Deer
8860,Deer
8876,Wild
8921,Deer
8949,Deer
8993,Deer
9034,Deer
9157,Deer
9159,Deer
9201,Deer
9241,Deer
9259,Deer
9293,Deer
9344,Deer
9397,Moose
9422,Deer
9439,Moose
9453,Deer
9462,Deer
9471,Deer
9516,Deer
9578,Deer
9592,Deer
9597,Deer
9625,Domestic
9638,Deer
9650,Moose
9670,Deer
9749,Deer
9807,Deer
9833,Deer
9852,Moose
9854,Deer
9880,Deer
9921,Domestic
9956,Deer
9964,Deer
9971,Moose
9972,Deer
9974,Domestic
9979,Deer
10083,Domestic
10168,Deer
10199,Moose
10249,Deer
10253,Deer
10271,Domestic
10273,Deer
10285,Deer
10304,Deer
10320,Deer
10326,Deer
10341,Deer
10393,Deer
10416,Deer
10427,Deer
10454,Deer
10460,Deer
10486,Deer
10499,Deer
10557,Deer
10677,Wild
10716,Deer
10725,Deer
10732,Deer
10793,Deer
10796,Deer
10853,Wild
10867,Wild
10871,Deer
10914,Deer
10946,Deer
11024,Deer
11037,Deer
11070,Deer
11085,Deer
11189,Deer
11245,Deer
11249,Deer
11252,Deer
11306,Domestic
11320,Deer
11373,Moose
11461,Deer
11518,Deer
11541,Deer
11583,Wild
11601,Deer
11617,Deer
11641,Deer
11718,Deer
11777,Deer
11821,Deer
11860,Deer
11876,Deer
11907,Domestic
11991,Deer
12055,Deer
12069,Deer
12165,Deer
12204,Deer
12206,Deer
12262,Deer
12446,Deer
12462,Wild
12480,Deer
