locID,cityID,streetAddress,roadChar
1,1,Minor Road,Not at a Junction
2,2,1200 Airport Dr,Driveway
3,3,4886 Main Street,Parking Lot
4,4,1845 Vt Rt 9,Not at a Junction
5,5,16 Route 2,Not at a Junction
6,6,Main St,Five-point or more
7,7,Not Reported,Not at a Junction
8,8,North St,T - Intersection
9,6,499 Canal St,Parking Lot
10,9,80 Pond Street,Driveway
11,10,I 89 N MM83 ,Not Reported
12,11,369 East Road,Not at a Junction
13,12,St Paul St,Five-point or more
14,12,Colchester Ave,Not at a Junction
15,12,195 Colchester Ave,Not at a Junction
16,13,Park St,Not at a Junction
17,2,Dorset St,Four-way Intersection
18,12,206 Shelburne Rd,Not Reported
19,14,302 St John St,T - Intersection
20,15,Woodstock Ave,Four-way Intersection
21,16,Cold River Road,Not at a Junction
22,17,3128 Jersey Street,T - Intersection
23,18,910 VT ROUTE 15 ,Not Reported
24,13,South St Ext,Not at a Junction
25,19,SUSIE WILSON RD,Not Reported
26,20,VT ROUTE 100,Not Reported
27,6,Spring Tree Lane,Not at a Junction
28,21,Creek Farm Road,T - Intersection
29,22,VT ROUTE 108 SOUTH,Not at a Junction
30,2,Williston Rd,Four-way Intersection
31,12,Pearl St,T - Intersection
32,23,Not Reported,Not at a Junction
33,7,56 Main Street,Not at a Junction
34,12,595 Shelburne Rd,Parking Lot
35,24,1482 Buttons Falls Rd,Not at a Junction
36,19,1000 River St,Parking Lot
37,25,3607 HINMAN SETTLER RD ,Not Reported
38,26,5053 Vt Rt 9,Driveway
39,12,S Willard St,T - Intersection
40,21,Main Street,Four-way Intersection
41,27,461 VT ROUTE 114,Driveway
42,2,Williston Road,Not at a Junction
43,11,414 US Route 7 South,T - Intersection
44,6,Not Reported,Not at a Junction
45,19,I 289 EXIT 9,Not at a Junction
46,28,210 South Street,Not at a Junction
47,6,Western Ave,T - Intersection
48,29,I 89 N MM23,Not at a Junction
49,30,I89 NB,On Ramp
50,7,539 Charlestown Rd.,Not at a Junction
51,31,Vt Rt 15,Traffic circle / roundabout
52,6,Western Ave,Not at a Junction
53,14,Interstate 91 North,Not at a Junction
54,3,1131 Depot Street,Not at a Junction
55,27,4272 BURKE HOLLOW RD,Not at a Junction
56,19,10 SUSIE WILSON RD,Four-way Intersection
57,32,127 VT Route 100,Not at a Junction
58,33,74 RICHFORD RD ,Not Reported
59,34,535 E Main St,Parking Lot
60,35,9 Water Street,Not at a Junction
61,36,997 Main St,T - Intersection
62,37,VT RT 15,T - Intersection
63,38,700 Tuckers Way,Parking Lot
64,6,Canal St,Parking Lot
65,39,MCKINNEL RD,Not Reported
66,40,39 South Main Street,Parking Lot
67,10,Williston Road,Y - Intersection
68,12,Church St,Not Reported
69,28,302 Silver Street,Four-way Intersection
70,6,Rt 30,Not at a Junction
71,15,5 North Main St.,Five-point or more
72,12,College St,Not at a Junction
73,6,Cedar St,T - Intersection
74,10,WILLISTON ROAD,T - Intersection
75,28,142 North Street,Parking Lot
76,41,1880 VT 100,Not at a Junction
77,42,Waterbury Road,T - Intersection
78,43,I 91 N MM66,Not Reported
79,44,308 Vt Rt 15,Parking Lot
80,12,111 Colchester Ave,Parking Lot
81,45,Winooski St & River Rd,Not at a Junction
82,15,Stratton Road,Four-way Intersection
83,34,Lake Rd.,T - Intersection
84,46,I-91 MM 25,Not at a Junction
85,47,473 E Barre Rd,Not at a Junction
86,48,4300 Block VT ROUTE 11,Not Reported
87,1,51 West Main,Not at a Junction
88,49,Vt Rt 22a,Not at a Junction
89,50,Interstate 91 N,Not at a Junction
90,51,3200 Block ROUTE 315,Not Reported
91,52,RT 4 WB,Not at a Junction
92,15,Pine St,Four-way Intersection
93,53,I-91 S MM58,Not at a Junction
94,54,150 US Route 2,Not at a Junction
95,12,Battery St,T - Intersection
96,6,32 Linden St,Parking Lot
97,55,644 CENTER OF TOWN ROAD,Not at a Junction
98,15,262 South Main Street,Parking Lot
99,36,Huntville Road,Y - Intersection
100,56,Main Road,Not at a Junction
101,57,743 VT 100,Not at a Junction
102,6,Union Hill,Not at a Junction
103,6,Putney Rd,Parking Lot
104,45,VT TR 100,T - Intersection
105,58,4002 Rt 2,Not at a Junction
106,59,Abenaki Way,Not at a Junction
107,60,Shelburne Hinesburg Rd,Not Reported
108,42,2703 Waterbury Rd,Not at a Junction
109,2,Shelburne Rd,Four-way Intersection
110,47,Morrison Rd,T - Intersection
111,6,131 Fairground Rd,Not at a Junction
112,19,39 River Rd,Parking Lot
113,10,Shaws Parking Lot,Parking Lot
114,60,6420 VT Route 116,Not at a Junction
115,2,105 White Street,Not at a Junction
116,19,119 MAIN ST,Parking Lot
117,29,VT RT 110,Not at a Junction
118,61,I 91 N MM87; 87/6 ,Not Reported
119,62,12 Main Street,Parking Lot
120,63,I 89 N MM26,Not Reported
121,28,151 Hannaford Sq,Parking Lot
122,64,S Main St,Parking Lot
123,12,31 Loomis St,Driveway
124,65,3676,Not at a Junction
125,60,6308  Shelburne Road,Not at a Junction
126,66,1420 Island Pond Road,Not at a Junction
127,21,Roosevelt Highway,Parking Lot
128,12,1 S Prospect St,Driveway
