accID,Involving
41,Heavy Truck
48,Heavy Truck
56,Bicycle
60,Heavy Truck
92,Pedestrian
128,Bicycle
136,Motorcycle
144,Heavy Truck
179,Motorcycle
199,Pedestrian
213,Heavy Truck
251,Heavy Truck
264,Heavy Truck
280,Heavy Truck
283,Motorcycle
297,Heavy Truck
314,Motorcycle
315,Motorcycle
316,Heavy Truck
318,Pedestrian
346,Heavy Truck
367,Heavy Truck
379,Motorcycle
388,Pedestrian
389,Heavy Truck
390,Heavy Truck
392,Motorcycle
394,Heavy Truck
396,Heavy Truck
408,Heavy Truck
412,Heavy Truck
450,Bicycle
463,Motorcycle
506,Motorcycle
509,Heavy Truck
520,Heavy Truck
535,Heavy Truck
543,Motorcycle
547,Heavy Truck
564,Heavy Truck
584,Heavy Truck
599,Pedestrian
627,Pedestrian
637,Motorcycle
642,Heavy Truck
650,Heavy Truck
704,Heavy Truck
705,Heavy Truck
756,Bicycle
766,Motorcycle
779,Bicycle
785,Bicycle
786,Pedestrian
788,Motorcycle
801,Heavy Truck
808,Heavy Truck
825,Motorcycle
830,Heavy Truck
849,Heavy Truck
850,Heavy Truck
889,Motorcycle
896,Pedestrian
940,Heavy Truck
948,Heavy Truck
961,Pedestrian
986,Heavy Truck
1012,Pedestrian
1015,Motorcycle
1016,Motorcycle
1083,Heavy Truck
1094,Heavy Truck
1110,Pedestrian
1131,Heavy Truck
1140,Heavy Truck
1172,Heavy Truck
1173,Heavy Truck
1204,Heavy Truck
1207,Heavy Truck
1243,Heavy Truck
1245,Heavy Truck
1249,Heavy Truck
1297,Bicycle
1301,Heavy Truck
1326,Heavy Truck
1347,Motorcycle
1348,Motorcycle
1388,Bicycle
1395,Heavy Truck
1411,Pedestrian
1430,Pedestrian
1444,Heavy Truck
1445,Heavy Truck
1463,Heavy Truck
1517,Heavy Truck
1539,Heavy Truck
1573,Heavy Truck
1597,Motorcycle
1601,Bicycle
1614,Heavy Truck
1615,Bicycle
1633,Heavy Truck
1657,Bicycle
1672,Pedestrian
1710,Heavy Truck
1721,Heavy Truck
1754,Motorcycle
1759,Motorcycle
1765,Motorcycle
1834,Heavy Truck
1836,Heavy Truck
1843,Motorcycle
1862,Pedestrian
1866,Heavy Truck
1913,Heavy Truck
1920,Bicycle
1945,Heavy Truck
1975,Heavy Truck
1998,Heavy Truck
2000,Heavy Truck
2016,Motorcycle
2027,Motorcycle
2058,Heavy Truck
2062,Motorcycle
2092,Heavy Truck
2100,Motorcycle
2108,Pedestrian
2121,Motorcycle
2128,Heavy Truck
2179,Motorcycle
2184,Bicycle
2202,Pedestrian
2209,Heavy Truck
2226,Pedestrian
2248,Heavy Truck
2249,Heavy Truck
2268,Heavy Truck
